order_id,order_date,item_id,qty_ordered,price,value,discount_amount,total,category,cust_id,year,month,ref_num,age,state,zip,region,discount_percent
100354678,10/1/2020,574774,11,19,190,0,190,Men's Fashion,60124,2020,10,987867,43,OK,73571,South,0
100354680,10/1/2020,574777,9,149.9,1199.2,0,1199.2,Men's Fashion,60124,2020,10,987867,43,OK,73571,South,0
100354680,10/1/2020,574779,9,79.9,639.2,0,639.2,Men's Fashion,60124,2020,10,987867,43,OK,73571,South,0
100367357,11/13/2020,595185,2,99.9,99.9,0,99.9,Men's Fashion,60124,2020,11,987867,43,OK,73571,South,0
100367357,11/13/2020,595186,2,39.9,39.9,0,39.9,Men's Fashion,60124,2020,11,987867,43,OK,73571,South,0
100367360,11/13/2020,595192,2,47.6,47.6,0,47.6,Mobiles & Tablets,60124,2020,11,987867,43,OK,73571,South,0
100354677,10/1/2020,574769,2,49,49,0,49,Mobiles & Tablets,42485,2020,10,171143,28,FL,32042,South,0
100354677,10/1/2020,574770,2,135,135,0,135,Computing,42485,2020,10,171143,28,FL,32042,South,0
100354677,10/1/2020,574771,2,549.9,549.9,0,549.9,Appliances,42485,2020,10,171143,28,FL,32042,South,0
100356116,10/8/2020,577467,1,549.9,0,0,0,Appliances,42485,2020,10,171143,28,FL,32042,South,5.45553737
100358724,10/21/2020,581862,1,549.9,0,0,0,Appliances,42485,2020,10,171143,28,FL,32042,South,3.637024914
100403034,12/24/2020,656937,2,254.8,254.8,39.80628,214.99372,Appliances,42485,2020,12,171143,28,FL,32042,South,15.62255887
100403034,12/24/2020,656939,2,69.8,69.8,10.90455,58.89545,Home & Living,42485,2020,12,171143,28,FL,32042,South,15.62256447
100403077,12/24/2020,657023,2,254.8,254.8,39.80628,214.99372,Appliances,42485,2020,12,171143,28,FL,32042,South,15.62255887
100403077,12/24/2020,657024,2,315.5,315.5,49.28917,266.21083,Appliances,42485,2020,12,171143,28,FL,32042,South,15.62255784
100403077,12/24/2020,657025,2,69.8,69.8,10.90455,58.89545,Home & Living,42485,2020,12,171143,28,FL,32042,South,15.62256447
100403411,12/24/2020,657547,2,254.8,254.8,39.80628,214.99372,Appliances,42485,2020,12,171143,28,FL,32042,South,15.62255887
100403411,12/24/2020,657548,2,315.5,315.5,49.28917,266.21083,Appliances,42485,2020,12,171143,28,FL,32042,South,15.62255784
100403411,12/24/2020,657549,2,69.8,69.8,10.90455,58.89545,Home & Living,42485,2020,12,171143,28,FL,32042,South,15.62256447
100403502,12/24/2020,657702,2,254.8,254.8,39.80628,214.99372,Appliances,42485,2020,12,171143,28,FL,32042,South,15.62255887
100403502,12/24/2020,657703,2,315.5,315.5,49.28917,266.21083,Appliances,42485,2020,12,171143,28,FL,32042,South,15.62255784
100403502,12/24/2020,657704,2,69.8,69.8,10.90455,58.89545,Home & Living,42485,2020,12,171143,28,FL,32042,South,15.62256447
100403536,12/24/2020,657777,3,254.8,509.6,101.92,407.68,Appliances,42485,2020,12,171143,28,FL,32042,South,20
100403536,12/24/2020,657778,3,315.5,631,126.2,504.8,Appliances,42485,2020,12,171143,28,FL,32042,South,20
100403536,12/24/2020,657779,3,69.8,139.6,27.92,111.68,Home & Living,42485,2020,12,171143,28,FL,32042,South,20
100422764,12/28/2020,690831,3,499.8,999.6,199.92,799.68,Home & Living,42485,2020,12,171143,28,FL,32042,South,20
100354679,10/1/2020,574775,2,166.5,166.5,0,166.5,Appliances,53620,2020,10,650142,65,ND,58201,Midwest,0
100354679,10/1/2020,574776,2,140,140,0,140,Women's Fashion,53620,2020,10,650142,65,ND,58201,Midwest,0
100358823,10/22/2020,582021,2,199,199,0,199,Appliances,53620,2020,10,650142,65,ND,58201,Midwest,0
100359410,10/24/2020,583004,11,199,1990,0,1990,Appliances,53620,2020,10,650142,65,ND,58201,Midwest,0
100359558,10/25/2020,583239,11,199.9,1999,0,1999,Appliances,53620,2020,10,650142,65,ND,58201,Midwest,0
100354681,10/1/2020,574781,2,1099.9,1099.9,0,1099.9,Appliances,56836,2020,10,578084,33,HI,96764,West,0
100354682,10/1/2020,574782,2,1099.9,1099.9,0,1099.9,Appliances,56836,2020,10,578084,33,HI,96764,West,0
